"time","NZL Wind Direction (Degs)","NZL Wind Speed (M/Sec)","NZL Lat","NZL Long","NZL time_time","NZL time diff","NZL_Lat_difference","NZL_Long_difference","NZL_Distance.to.next","NZL_Speed","Wind Direction (Degs) (#1)","Wind Speed (M/Sec) (#1)","USA Lat","USA Long","USA time_time (#1)","USA time diff","USA_Lat_difference","USA_Long_difference","USA_Distance.to.next","USA_Speed","Distance_NZL_USA"
"13:57:54",263.3,17.3,37.8125587,-122.4531781,"13:57:54",1.0,1.8900000000598993E-5,-3.42000000017606E-5,1.526850000143067E-9,1.526850000143067E-9,263.3,17.3,37.8232387,-122.4567707,"13:57:54",1.0,1.1100000001817989E-5,-2.4799999991387267E-5,7.382499996131678E-10,7.382499996131678E-10,0.011268059937719883
"13:57:55",263.2,17.3,37.8125776,-122.4532123,"13:57:55",1.0,1.790000000312375E-5,-3.279999999961092E-5,1.3962500000863064E-9,1.3962500000863064E-9,263.2,17.3,37.8232498,-122.4567955,"13:57:55",1.0,1.1999999998124622E-5,-2.6800000000548607E-5,8.622399999843963E-10,8.622399999843963E-10,0.01125767183213294
"13:57:56",263.1,17.3,37.8125955,-122.4532451,"13:57:56",1.0,1.669999999620586E-5,-3.209999999853608E-5,1.3092999997792919E-9,1.3092999997792919E-9,263.1,17.3,37.8232618,-122.4568223,"13:57:56",1.0,1.3400000000274304E-5,-2.910000000611035E-5,1.0263700003629737E-9,1.0263700003629737E-9,0.011250169577828572
"13:57:57",263.1,17.3,37.8126122,-122.4532772,"13:57:57",1.0,1.5799999999899228E-5,-3.2500000003210516E-5,1.305890000205499E-9,1.305890000205499E-9,263.1,17.3,37.8232752,-122.4568514,"13:57:57",1.0,1.6200000004573667E-5,-2.739999999334941E-5,1.0131999997837346E-9,1.0131999997837346E-9,0.011246087081293675
"13:57:58",263.0,17.3,37.812628,-122.4533097,"13:57:58",1.0,1.3300000006211121E-5,-2.8799999995499093E-5,1.0063299999059636E-9,1.0063299999059636E-9,263.0,17.3,37.8232914,-122.4568788,"13:57:58",1.0,2.289999999760539E-5,-2.849999999909869E-5,1.3366599998389523E-9,1.3366599998389523E-9,0.011244846569432138
"13:57:59",263.0,17.3,37.8126413,-122.4533385,"13:57:59",1.0,1.4499999998918156E-5,-2.870000000143591E-5,1.0339400000510478E-9,1.0339400000510478E-9,263.0,17.3,37.8233143,-122.4569073,"13:57:59",1.0,2.810000000152968E-5,-2.4199999998586463E-5,1.3752500000175528E-9,1.3752500000175528E-9,0.011253855447797074
"13:58:00",262.9,17.3,37.8126558,-122.4533672,"13:58:00",1.0,1.7899999996018323E-5,-3.320000000428536E-5,1.4226500001420038E-9,1.4226500001420038E-9,262.9,17.3,37.8233424,-122.4569315,"13:58:00",1.0,3.290000000077953E-5,-2.5500000006672963E-5,1.7326600003916139E-9,1.7326600003916139E-9,0.011265329735518055
"13:58:01",262.8,17.3,37.8126737,-122.4534004,"13:58:01",1.0,2.1100000004992125E-5,-3.359999999474894E-5,1.5741699998577966E-9,1.5741699998577966E-9,262.9,17.3,37.8233753,-122.456957,"13:58:01",1.0,3.1399999997461236E-5,-2.390000000218606E-5,1.5571699999450594E-9,1.5571699999450594E-9,0.011277129338624537
"13:58:02",262.8,17.3,37.8126948,-122.453434,"13:58:02",1.0,2.5999999998305157E-5,-3.6800000003722744E-5,2.030240000185862E-9,2.030240000185862E-9,262.8,17.3,37.8234067,-122.4569809,"13:58:02",1.0,2.6300000001810986E-5,-2.200000000129876E-5,1.1756900001524032E-9,1.1756900001524032E-9,0.01128385134694524
"13:58:03",262.7,17.3,37.8127208,-122.4534708,"13:58:03",1.0,3.0000000002416982E-5,-3.809999999759839E-5,2.351609999962016E-9,2.351609999962016E-9,262.7,17.3,37.823433,-122.4570029,"13:58:03",1.0,2.149999999545571E-5,-2.089999999554948E-5,8.990599996185638E-10,8.990599996185638E-10,0.01127949286315727
